City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,codrington,-38.2667,141.9667,21.93,73,70,4.99,AU,1738594832
125,petropavlovsk-kamchatsky,53.0452,158.6483,-17.67,51,0,2.0,RU,1738594833
126,nelson bay,-32.7167,152.15,23.38,89,72,2.68,AU,1738594836
127,terrace,54.5163,-128.6035,-13.05,47,0,8.23,CA,1738594837
128,hargeysa,9.56,44.065,16.89,61,100,7.27,SO,1738594838
129,st. john's,47.5649,-52.7093,-4.46,73,100,6.17,CA,1738594769
130,bilibino,68.0546,166.4372,-32.3,99,100,0.97,RU,1738594594
131,san patricio,28.017,-97.5169,20.97,90,75,4.97,US,1738594841
132,remire-montjoly,4.9167,-52.2667,28.02,83,75,2.57,GF,1738594842
133,ilha solteira,-20.4328,-51.3425,23.46,89,100,4.28,BR,1738594844
134,toliara,-23.35,43.6667,29.85,62,100,7.91,MG,1738594845
135,nemuro,43.3236,145.575,-1.44,96,100,10.68,JP,1738594846
136,senador jose porfirio,-2.5908,-51.9542,25.42,86,87,0.79,BR,1738594847
137,galliano,29.4422,-90.2992,20.0,77,0,3.09,US,1738594848
138,nuuk,64.1835,-51.7216,-10.66,67,75,8.75,GL,1738594849
139,manokwari,-0.8667,134.0833,25.25,83,100,6.78,ID,1738594850
140,fortuna,40.5982,-124.1573,5.75,98,100,3.09,US,1738594772
141,floro,61.5996,5.0328,4.98,87,75,7.2,NO,1738594852
142,diboll,31.1871,-94.781,17.9,97,28,3.37,US,1738594853
143,malvan,16.0667,73.4667,25.21,74,41,6.38,IN,1738594854
144,tahe,52.3333,124.7333,-22.71,88,100,3.49,CN,1738594857
145,twon-brass,4.3151,6.2418,28.71,73,91,6.93,NG,1738594858
146,solnechnyy,50.7214,136.6319,-21.91,96,90,2.19,RU,1738594859
147,thinadhoo,0.5333,72.9333,27.94,66,2,1.97,MV,1738594860
148,morehead city,34.7229,-76.726,9.0,93,100,2.06,US,1738594567
149,ambanja,-13.6833,48.45,24.41,93,100,0.98,MG,1738594862
150,singaraja,-8.112,115.0882,27.4,84,98,1.88,ID,1738594863
151,halifax,44.6453,-63.5724,-2.53,85,100,1.54,CA,1738594366
152,egilsstadir,65.2653,-14.3948,5.95,70,75,12.86,IS,1738594865
153,punta arenas,-53.15,-70.9167,9.06,57,40,10.8,CL,1738594866
154,yankton,42.8711,-97.3973,-2.86,80,100,7.72,US,1738594833
155,santa maria,-29.6842,-53.8069,32.61,52,0,2.06,BR,1738594868
156,mantua,45.1667,10.7833,12.97,75,7,0.89,IT,1738594869
157,uray,60.1247,64.7758,-17.85,99,100,1.88,RU,1738594871
158,northam,51.0333,-4.2167,11.0,67,100,2.24,GB,1738594873
159,reggane,26.7158,0.1714,21.49,14,0,4.12,DZ,1738594874
160,margaret river,-33.95,115.0667,16.74,72,2,6.52,AU,1738594875
161,saint-philippe,-21.3585,55.7679,28.69,83,53,4.11,RE,1738594876
162,yoakum,29.2878,-97.1519,18.66,92,100,4.21,US,1738594877
163,meadow lakes,61.6247,-149.6011,-14.96,90,0,0.0,US,1738594878
164,oranjemund,-28.55,16.4333,21.53,68,3,8.61,NA,1738594879
165,east london,-33.0153,27.9116,24.58,65,20,5.48,ZA,1738594819
166,sittwe,20.15,92.9,24.27,57,2,8.55,MM,1738594882
167,bowen,-20.0167,148.2333,25.38,88,100,4.91,AU,1738594883
168,saipan,15.1355,145.701,27.39,78,0,3.09,MP,1738594625
169,vorgashor,67.5833,63.95,-28.42,95,9,2.77,RU,1738594886
170,taro,-8.3862,115.28,21.52,91,100,0.89,ID,1738594888
